date,home_team,away_team,home_score,away_score
2023-12-02,Miami (FL),Notre Dame,62,49
2023-12-02,North Carolina,Florida State,78,70
2023-12-02,Virginia,Syracuse,84,62
2023-12-03,Pittsburgh,Clemson,70,79
2023-12-03,Virginia Tech,Louisville,75,68
2023-12-30,Wake Forest,Virginia Tech,86,63
2023-12-30,Notre Dame,Virginia,76,54
2023-12-30,Syracuse,Pittsburgh,81,73
2024-01-02,Boston College,Wake Forest,78,84
2024-01-02,Duke,Syracuse,86,66
2024-01-02,Pittsburgh,North Carolina,57,70
2024-01-03,Notre Dame,NC State,52,54
2024-01-03,Florida State,Georgia Tech,82,71
2024-01-03,Miami (FL),Clemson,95,82
2024-01-03,Virginia,Louisville,77,53
2024-01-06,Notre Dame,Duke,59,67
2024-01-06,Wake Forest,Miami (FL),86,82
2024-01-06,NC State,Virginia,76,60
2024-01-06,Florida State,Virginia Tech,77,74
2024-01-06,Georgia Tech,Boston College,87,95
2024-01-06,Clemson,North Carolina,55,65
2024-01-06,Louisville,Pittsburgh,70,83
2024-01-09,Florida State,Wake Forest,87,82
2024-01-09,Georgia Tech,Notre Dame,68,75
2024-01-09,Pittsburgh,Duke,53,75
2024-01-10,Miami (FL),Louisville,71,80
2024-01-10,NC State,North Carolina,54,67
2024-01-10,Syracuse,Boston College,69,59
2024-01-10,Virginia Tech,Clemson,87,72
2024-01-13,Wake Forest,Virginia,66,47
2024-01-13,Virginia Tech,Miami (FL),71,75
2024-01-13,Notre Dame,Florida State,58,67
2024-01-13,Louisville,NC State,83,89
2024-01-13,Duke,Georgia Tech,84,79
2024-01-13,North Carolina,Syracuse,103,67
2024-01-13,Clemson,Boston College,89,78
2024-01-15,Boston College,Notre Dame,63,59
2024-01-16,Pittsburgh,Syracuse,58,69
2024-01-16,Clemson,Georgia Tech,90,93
2024-01-16,NC State,Wake Forest,83,76
2024-01-17,Virginia,Virginia Tech,65,57
2024-01-17,North Carolina,Louisville,86,70
2024-01-17,Miami (FL),Florida State,75,84
2024-01-20,Boston College,North Carolina,66,76
2024-01-20,Duke,Pittsburgh,76,80
2024-01-20,Florida State,Clemson,67,78
2024-01-20,Georgia Tech,Virginia,66,75
2024-01-20,NC State,Virginia Tech,78,84
2024-01-20,Syracuse,Miami (FL),72,69
2024-01-20,Wake Forest,Louisville,90,65
2024-01-22,North Carolina,Wake Forest,85,64
2024-01-23,Virginia Tech,Boston College,76,71
2024-01-23,Syracuse,Florida State,69,85
2024-01-23,Louisville,Duke,69,83
2024-01-23,Georgia Tech,Pittsburgh,64,72
2024-01-24,Notre Dame,Miami (FL),61,73
2024-01-24,Virginia,NC State,59,53
2024-01-27,Notre Dame,Boston College,58,61
2024-01-27,Miami (FL),Pittsburgh,72,68
2024-01-27,Syracuse,NC State,77,65
2024-01-27,Florida State,North Carolina,68,75
2024-01-27,Duke,Clemson,72,71
2024-01-27,Louisville,Virginia,52,69
2024-01-27,Virginia Tech,Georgia Tech,91,67
2024-01-29,Virginia Tech,Duke,67,77
2024-01-30,Boston College,Syracuse,80,75
2024-01-30,Clemson,Louisville,70,64
2024-01-30,Georgia Tech,North Carolina,74,73
2024-01-30,NC State,Miami (FL),74,68
2024-01-31,Pittsburgh,Wake Forest,77,72
2024-01-31,Virginia,Notre Dame,65,53
2024-02-03,Wake Forest,Syracuse,99,70
2024-02-03,North Carolina,Duke,93,84
2024-02-03,NC State,Georgia Tech,82,76
2024-02-03,Pittsburgh,Notre Dame,70,60
2024-02-03,Louisville,Florida State,101,92
2024-02-03,Clemson,Virginia,65,66
2024-02-03,Miami (FL),Virginia Tech,82,74
2024-02-05,Virginia,Miami (FL),60,38
2024-02-06,Boston College,Florida State,62,63
2024-02-06,Georgia Tech,Wake Forest,51,80
2024-02-06,North Carolina,Clemson,76,80
2024-02-07,Duke,Notre Dame,71,53
2024-02-07,NC State,Pittsburgh,64,67
2024-02-07,Syracuse,Louisville,94,92
2024-02-10,Syracuse,Clemson,68,77
2024-02-10,Wake Forest,NC State,83,79
2024-02-10,Notre Dame,Virginia Tech,74,66
2024-02-10,Louisville,Georgia Tech,79,67
2024-02-10,Florida State,Virginia,76,80
2024-02-10,Duke,Boston College,80,65
2024-02-10,Miami (FL),North Carolina,72,75
2024-02-12,Duke,Wake Forest,77,69
2024-02-13,Boston College,Louisville,89,77
2024-02-13,Syracuse,North Carolina,86,79
2024-02-13,Virginia,Pittsburgh,63,74
2024-02-13,Virginia Tech,Florida State,83,75
2024-02-14,Notre Dame,Georgia Tech,58,55
2024-02-14,Clemson,Miami (FL),77,60
2024-02-17,Virginia,Wake Forest,49,47
2024-02-17,Pittsburgh,Louisville,86,59
2024-02-17,North Carolina,Virginia Tech,96,81
2024-02-17,Boston College,Miami (FL),85,77
2024-02-17,Florida State,Duke,67,76
2024-02-17,Clemson,NC State,77,78
2024-02-17,Georgia Tech,Syracuse,65,60
2024-02-19,Virginia Tech,Virginia,75,41
2024-02-20,NC State,Syracuse,83,87
2024-02-20,Wake Forest,Pittsburgh,91,58
2024-02-20,Florida State,Boston College,84,76
2024-02-21,Louisville,Notre Dame,50,72
2024-02-21,Miami (FL),Duke,55,84
2024-02-21,Georgia Tech,Clemson,57,81
2024-02-24,Clemson,Florida State,74,63
2024-02-24,Miami (FL),Georgia Tech,76,80
2024-02-24,NC State,Boston College,81,70
2024-02-24,Pittsburgh,Virginia Tech,79,64
2024-02-24,Syracuse,Notre Dame,88,85
2024-02-24,Virginia,North Carolina,44,54
2024-02-24,Wake Forest,Duke,83,79
2024-02-26,North Carolina,Miami (FL),75,71
2024-02-27,Notre Dame,Wake Forest,70,65
2024-02-27,Syracuse,Virginia Tech,84,71
2024-02-27,Clemson,Pittsburgh,69,62
2024-02-27,Florida State,NC State,90,83
2024-02-28,Boston College,Virginia,68,72
2024-02-28,Duke,Louisville,84,59
2024-03-02,North Carolina,NC State,79,70
2024-03-02,Notre Dame,Clemson,69,62
2024-03-02,Louisville,Syracuse,76,82
2024-03-02,Virginia Tech,Wake Forest,87,76
2024-03-02,Duke,Virginia,73,48
2024-03-02,Boston College,Pittsburgh,65,90
2024-03-02,Georgia Tech,Florida State,85,76
2024-03-04,NC State,Duke,64,79
2024-03-05,Wake Forest,Georgia Tech,69,70
2024-03-05,Pittsburgh,Florida State,88,73
2024-03-05,Clemson,Syracuse,90,75
2024-03-05,Louisville,Virginia Tech,64,80
2024-03-05,North Carolina,Notre Dame,84,51
2024-03-06,Miami (FL),Boston College,57,67
2024-03-09,Wake Forest,Clemson,81,76
2024-03-09,Virginia,Georgia Tech,72,57
2024-03-09,Pittsburgh,NC State,81,73
2024-03-09,Virginia Tech,Notre Dame,82,76
2024-03-09,Florida State,Miami (FL),83,75
2024-03-09,Duke,North Carolina,79,84
2024-03-09,Louisville,Boston College,61,67
2024-03-12,Boston College,Miami (FL),81,65
2024-03-12,NC State,Louisville,94,85
2024-03-12,Notre Dame,Georgia Tech,84,80
2024-03-13,Wake Forest,Notre Dame,72,59
2024-03-13,Clemson,Boston College,55,76
2024-03-13,Syracuse,NC State,65,83
2024-03-13,Virginia Tech,Florida State,76,86
2024-03-14,Pittsburgh,Wake Forest,81,69
2024-03-14,Virginia,Boston College,66,60
2024-03-14,Duke,NC State,69,74
2024-03-14,North Carolina,Florida State,92,67
2024-03-15,Virginia,NC State,65,73
2024-03-15,North Carolina,Pittsburgh,72,65
2024-03-16,North Carolina,NC State,76,84
2024-12-07,California,Stanford,81,89
2024-12-07,Miami (FL),Clemson,55,65
2024-12-07,NC State,Florida State,84,74
2024-12-07,North Carolina,Georgia Tech,68,65
2024-12-07,Notre Dame,Syracuse,69,64
2024-12-07,Southern Methodist,Virginia,63,51
2024-12-07,Virginia Tech,Pittsburgh,59,64
2024-12-07,Wake Forest,Boston College,72,66
2024-12-08,Louisville,Duke,65,76
2024-12-21,Boston College,Southern Methodist,77,103
2024-12-21,Clemson,Wake Forest,73,62
2024-12-21,Florida State,Louisville,76,90
2024-12-21,Georgia Tech,Duke,56,82
2024-12-31,Duke,Virginia Tech,88,65
2024-12-31,Georgia Tech,Notre Dame,86,75
2024-12-31,Syracuse,Wake Forest,71,81
2024-12-31,Virginia,NC State,70,67
2025-01-01,Louisville,North Carolina,83,70
2025-01-01,Pittsburgh,California,86,74
2025-01-01,Boston College,Miami (FL),78,68
2025-01-01,Clemson,Stanford,85,71
2025-01-04,Clemson,California,80,68
2025-01-04,Florida State,Syracuse,90,74
2025-01-04,Georgia Tech,Boston College,85,64
2025-01-04,Notre Dame,North Carolina,73,74
2025-01-04,Pittsburgh,Stanford,83,68
2025-01-04,Southern Methodist,Duke,62,89
2025-01-04,Virginia,Louisville,50,70
2025-01-04,Virginia Tech,Miami (FL),86,85
2025-01-04,Wake Forest,NC State,77,59
2025-01-07,Syracuse,Georgia Tech,62,55
2025-01-07,North Carolina,Southern Methodist,82,67
2025-01-07,Duke,Pittsburgh,76,47
2025-01-07,Louisville,Clemson,74,64
2025-01-08,California,Virginia,75,61
2025-01-08,Miami (FL),Florida State,65,80
2025-01-08,NC State,Notre Dame,66,65
2025-01-08,Stanford,Virginia Tech,70,59
2025-01-11,NC State,North Carolina,61,63
2025-01-11,Stanford,Virginia,88,65
2025-01-11,Pittsburgh,Louisville,78,82
2025-01-11,Miami (FL),Wake Forest,78,88
2025-01-11,Southern Methodist,Georgia Tech,93,71
2025-01-11,Clemson,Florida State,77,57
2025-01-11,California,Virginia Tech,68,71
2025-01-11,Duke,Notre Dame,86,78
2025-01-11,Boston College,Syracuse,71,79
2025-01-13,Notre Dame,Boston College,78,60
2025-01-14,Duke,Miami (FL),89,54
2025-01-14,Georgia Tech,Clemson,59,70
2025-01-14,Syracuse,Louisville,61,85
2025-01-15,Wake Forest,Stanford,80,67
2025-01-15,Virginia,Southern Methodist,52,54
2025-01-15,Virginia Tech,NC State,79,76
2025-01-15,Florida State,Pittsburgh,82,70
2025-01-15,North Carolina,California,79,53
2025-01-18,Virginia Tech,Wake Forest,63,72
2025-01-18,Boston College,Duke,63,88
2025-01-18,Florida State,Georgia Tech,91,78
2025-01-18,Louisville,Virginia,81,67
2025-01-18,Miami (FL),Southern Methodist,74,117
2025-01-18,NC State,California,62,65
2025-01-18,North Carolina,Stanford,71,72
2025-01-18,Pittsburgh,Clemson,75,78
2025-01-18,Syracuse,Notre Dame,77,69
2025-01-21,Virginia,Boston College,74,56
2025-01-21,Wake Forest,North Carolina,67,66
2025-01-21,Southern Methodist,Louisville,73,98
2025-01-22,California,Florida State,77,68
2025-01-22,Clemson,Syracuse,86,72
2025-01-22,Georgia Tech,Virginia Tech,71,64
2025-01-22,Stanford,Miami (FL),88,51
2025-01-25,Wake Forest,Duke,56,63
2025-01-25,Virginia Tech,Clemson,57,72
2025-01-25,Syracuse,Pittsburgh,73,77
2025-01-25,Virginia,Notre Dame,59,74
2025-01-25,North Carolina,Boston College,102,96
2025-01-25,NC State,Southern Methodist,57,63
2025-01-25,California,Miami (FL),98,94
2025-01-25,Stanford,Florida State,78,71
2025-01-27,Duke,NC State,74,64
2025-01-28,Louisville,Wake Forest,72,59
2025-01-28,Notre Dame,Georgia Tech,71,68
2025-01-28,Pittsburgh,North Carolina,73,65
2025-01-29,Stanford,Syracuse,70,61
2025-01-29,Florida State,Virginia Tech,66,76
2025-01-29,Miami (FL),Virginia,71,82
2025-01-29,Southern Methodist,California,76,65
2025-02-01,Virginia,Virginia Tech,74,75
2025-02-01,NC State,Clemson,58,68
2025-02-01,Wake Forest,Pittsburgh,76,74
2025-02-01,Miami (FL),Notre Dame,63,57
2025-02-01,Southern Methodist,Stanford,85,61
2025-02-01,Duke,North Carolina,87,70
2025-02-01,Georgia Tech,Louisville,77,70
2025-02-01,California,Syracuse,66,75
2025-02-01,Boston College,Florida State,77,76
2025-02-03,Pittsburgh,Virginia,57,73
2025-02-04,Clemson,Georgia Tech,86,89
2025-02-04,Florida State,Notre Dame,67,60
2025-02-05,Virginia Tech,Southern Methodist,75,81
2025-02-05,Stanford,Wake Forest,73,79
2025-02-05,Syracuse,Duke,54,83
2025-02-05,Boston College,Louisville,58,84
2025-02-05,California,NC State,74,62
2025-02-08,Virginia,Georgia Tech,75,61
2025-02-08,California,Wake Forest,66,76
2025-02-08,Clemson,Duke,77,71
2025-02-08,Louisville,Miami (FL),88,78
2025-02-08,North Carolina,Pittsburgh,67,66
2025-02-08,Notre Dame,Virginia Tech,63,65
2025-02-08,Stanford,NC State,74,73
2025-02-08,Syracuse,Boston College,95,86
2025-02-10,Clemson,North Carolina,85,65
2025-02-11,Southern Methodist,Pittsburgh,83,63
2025-02-11,Miami (FL),Syracuse,91,84
2025-02-12,Boston College,Notre Dame,94,97
2025-02-12,Duke,California,78,57
2025-02-12,Georgia Tech,Stanford,60,52
2025-02-12,NC State,Louisville,66,91
2025-02-12,Wake Forest,Florida State,70,72
2025-02-15,Southern Methodist,Wake Forest,66,77
2025-02-15,Virginia Tech,Virginia,70,73
2025-02-15,Syracuse,North Carolina,82,88
2025-02-15,Pittsburgh,Miami (FL),74,65
2025-02-15,Georgia Tech,California,90,88
2025-02-15,Florida State,Clemson,46,72
2025-02-15,Duke,Stanford,106,70
2025-02-15,NC State,Boston College,70,62
2025-02-16,Notre Dame,Louisville,60,75
2025-02-17,Virginia,Duke,62,80
2025-02-18,Boston College,Virginia Tech,54,36
2025-02-18,Pittsburgh,Syracuse,80,69
2025-02-19,North Carolina,NC State,97,73
2025-02-19,Florida State,Miami (FL),74,66
2025-02-19,Notre Dame,Southern Methodist,73,97
2025-02-22,Stanford,California,66,61
2025-02-22,Southern Methodist,Clemson,69,79
2025-02-22,North Carolina,Virginia,81,66
2025-02-22,Notre Dame,Pittsburgh,76,72
2025-02-22,Miami (FL),Virginia Tech,68,81
2025-02-22,Boston College,Georgia Tech,69,54
2025-02-22,NC State,Wake Forest,85,73
2025-02-22,Louisville,Florida State,89,81
2025-02-24,Florida State,North Carolina,85,96
2025-02-25,Miami (FL),Duke,60,97
2025-02-25,Pittsburgh,Georgia Tech,67,73
2025-02-25,Virginia Tech,Louisville,66,71
2025-02-26,Syracuse,NC State,74,60
2025-02-26,California,Southern Methodist,77,81
2025-02-26,Clemson,Notre Dame,83,68
2025-02-26,Stanford,Boston College,78,60
2025-02-26,Wake Forest,Virginia,75,83
2025-03-01,Wake Forest,Notre Dame,74,71
2025-03-01,Virginia Tech,Syracuse,101,95
2025-03-01,Virginia,Clemson,58,71
2025-03-01,Stanford,Southern Methodist,73,68
2025-03-01,California,Boston College,82,71
2025-03-01,Louisville,Pittsburgh,79,68
2025-03-01,Georgia Tech,NC State,87,62
2025-03-01,Duke,Florida State,100,65
2025-03-01,North Carolina,Miami (FL),92,73
2025-03-03,Duke,Wake Forest,93,60
2025-03-04,Virginia Tech,North Carolina,59,91
2025-03-04,Virginia,Florida State,60,57
2025-03-04,Georgia Tech,Miami (FL),89,74
2025-03-04,Southern Methodist,Syracuse,77,75
2025-03-05,Boston College,Clemson,69,78
2025-03-05,Louisville,California,85,68
2025-03-05,NC State,Pittsburgh,71,63
2025-03-05,Notre Dame,Stanford,56,54
2025-03-08,Wake Forest,Georgia Tech,69,43
2025-03-08,Syracuse,Virginia,84,70
2025-03-08,Notre Dame,California,112,110
2025-03-08,North Carolina,Duke,69,82
2025-03-08,Pittsburgh,Boston College,93,67
2025-03-08,Louisville,Stanford,68,48
2025-03-08,Florida State,Southern Methodist,76,69
2025-03-08,Clemson,Virginia Tech,65,47
2025-03-08,Miami (FL),NC State,72,70
2025-03-11,Florida State,Syracuse,62,66
2025-03-11,Notre Dame,Pittsburgh,55,54
2025-03-11,Virginia Tech,California,73,82
2025-03-12,Georgia Tech,Virginia,66,60
2025-03-12,North Carolina,Notre Dame,76,56
2025-03-12,Southern Methodist,Syracuse,73,53
2025-03-12,Stanford,California,78,73
2025-03-13,Louisville,Stanford,75,73
2025-03-13,Clemson,Southern Methodist,57,54
2025-03-13,Duke,Georgia Tech,78,70
2025-03-13,Wake Forest,North Carolina,59,68
2025-03-14,Louisville,Clemson,76,73
2025-03-14,Duke,North Carolina,74,71
2025-03-15,Duke,Louisville,73,62
